kind,point_index,minor_r_m,major_r_m,z_m
limiter,87,-5.3393733326e-01,1.3160626667e+00,2.6343334461e-01
limiter,88,-5.3731213316e-01,1.3126878668e+00,2.3487828343e-01
limiter,89,-5.4028834872e-01,1.3097116513e+00,2.0607170870e-01
limiter,90,-5.4286652653e-01,1.3071334735e+00,1.7704446723e-01
limiter,91,-5.4504716315e-01,1.3049528369e+00,1.4782764211e-01
limiter,92,-5.4683069534e-01,1.3031693047e+00,1.1845251944e-01
limiter,93,-5.4821749178e-01,1.3017825082e+00,8.8950554849e-02
limiter,94,-5.4920784626e-01,1.3007921537e+00,5.9353339776e-02
limiter,95,-5.4980197244e-01,1.3001980276e+00,2.9692567661e-02
limiter,96,-5.5000000000e-01,1.3000000000e+00,1.1113669702e-16
limiter,97,-5.4980197244e-01,1.3001980276e+00,-2.9692567661e-02
limiter,98,-5.4920784626e-01,1.3007921537e+00,-5.9353339776e-02
limiter,99,-5.4821749178e-01,1.3017825082e+00,-8.8950554849e-02
limiter,100,-5.4683069534e-01,1.3031693047e+00,-1.1845251944e-01
limiter,101,-5.4504716315e-01,1.3049528369e+00,-1.4782764211e-01
limiter,102,-5.4286652653e-01,1.3071334735e+00,-1.7704446723e-01
limiter,103,-5.4028834872e-01,1.3097116513e+00,-2.0607170870e-01
limiter,104,-5.3731213316e-01,1.3126878668e+00,-2.3487828343e-01
limiter,105,-5.3393733326e-01,1.3160626667e+00,-2.6343334461e-01
limiter,106,-5.3016336360e-01,1.3198366364e+00,-2.9170631476e-01
limiter,107,-5.2598961264e-01,1.3240103874e+00,-3.1966691849e-01
limiter,108,-5.2141545685e-01,1.3285845431e+00,-3.4728521487e-01
limiter,109,-5.1644027623e-01,1.3335597238e+00,-3.7453162955e-01
limiter,110,-5.1106347124e-01,1.3389365288e+00,-4.0137698637e-01
limiter,111,-5.0528448107e-01,1.3447155189e+00,-4.2779253867e-01
limiter,112,-4.9910280330e-01,1.3508971967e+00,-4.5375000000e-01
limiter,113,-4.9251801477e-01,1.3574819852e+00,-4.7922157447e-01
limiter,114,-4.8552979378e-01,1.3644702062e+00,-5.0417998647e-01
limiter,115,-4.7813794344e-01,1.3718620566e+00,-5.2859850991e-01
limiter,116,-4.7034241619e-01,1.3796575838e+00,-5.5245099683e-01
limiter,117,-4.6214333946e-01,1.3878566605e+00,-5.7571190538e-01
limiter,118,-4.5354104228e-01,1.3964589577e+00,-5.9835632720e-01
limiter,119,-4.4453608297e-01,1.4054639170e+00,-6.2036001409e-01
limiter,120,-4.3512927758e-01,1.4148707224e+00,-6.4169940393e-01
limiter,121,-4.2532172926e-01,1.4246782707e+00,-6.6235164597e-01
limiter,122,-4.1511485828e-01,1.4348851417e+00,-6.8229462529e-01
limiter,123,-4.0451043267e-01,1.4454895673e+00,-7.0150698643e-01
limiter,124,-3.9351059936e-01,1.4564894006e+00,-7.1996815631e-01
limiter,125,-3.8211791576e-01,1.4678820842e+00,-7.3765836627e-01
limiter,126,-3.7033538155e-01,1.4796646185e+00,-7.5455867316e-01
limiter,127,-3.5816647066e-01,1.4918335293e+00,-7.7065097974e-01
limiter,128,-3.4561516321e-01,1.5043848368e+00,-7.8591805393e-01
limiter,129,-3.3268597733e-01,1.5173140227e+00,-8.0034354740e-01
limiter,130,-3.1938400070e-01,1.5306159993e+00,-8.1391201294e-01
limiter,131,-3.0571492153e-01,1.5442850785e+00,-8.2660892112e-01
limiter,132,-2.9168505907e-01,1.5583149409e+00,-8.3842067575e-01
limiter,133,-2.7730139313e-01,1.5726986069e+00,-8.4933462853e-01
limiter,134,-2.6257159275e-01,1.5874284073e+00,-8.5933909252e-01
limiter,135,-2.4750404359e-01,1.6024959564e+00,-8.6842335468e-01
limiter,136,-2.3210787404e-01,1.6178921260e+00,-8.7657768736e-01
limiter,137,-2.1639297963e-01,1.6336070204e+00,-8.8379335869e-01
limiter,138,-2.0037004580e-01,1.6496299542e+00,-8.9006264197e-01
limiter,139,-1.8405056861e-01,1.6659494314e+00,-8.9537882387e-01
limiter,140,-1.6744687324e-01,1.6825531268e+00,-8.9973621170e-01
limiter,141,-1.5057213023e-01,1.6994278698e+00,-9.0313013946e-01
limiter,142,-1.3344036897e-01,1.7165596310e+00,-9.0555697284e-01
limiter,143,-1.1606648852e-01,1.7339335115e+00,-9.0701411313e-01
limiter,144,-9.8466265384e-02,1.7515337346e+00,-9.0750000000e-01
limiter,145,-8.0656358109e-02,1.7693436419e+00,-9.0701411313e-01
limiter,146,-6.2654308554e-02,1.7873456914e+00,-9.0555697284e-01
limiter,147,-4.4478539594e-02,1.8055214604e+00,-9.0313013946e-01
limiter,148,-2.6148349146e-02,1.8238516509e+00,-8.9973621170e-01
limiter,149,-7.6839003396e-03,1.8423160997e+00,-8.9537882387e-01
limiter,150,1.0893792285e-02,1.8608937923e+00,-8.9006264197e-01
limiter,151,2.9562880689e-02,1.8795628807e+00,-8.8379335869e-01
