kind,index,major_r_m,z_m,psi_norm,description
lcfs,83,2.2911965993206387,-0.7341197368421052,1.0,exported separatrix contour
lcfs,84,2.3134154929577466,-0.7163941623161185,1.0,exported separatrix contour
lcfs,85,2.3241742923468247,-0.7064171052631578,1.0,exported separatrix contour
lcfs,86,2.3360211267605635,-0.6953646386878976,1.0,exported separatrix contour
lcfs,87,2.351566063124985,-0.6787144736842105,1.0,exported separatrix contour
lcfs,88,2.3586267605633804,-0.6709937674020449,1.0,exported separatrix contour
lcfs,89,2.3747227199777874,-0.6510118421052631,1.0,exported separatrix contour
lcfs,90,2.3812323943661973,-0.6426288221046207,1.0,exported separatrix contour
lcfs,91,2.394582191276479,-0.6233092105263157,1.0,exported separatrix contour
lcfs,92,2.403838028169014,-0.6091657360117637,1.0,exported separatrix contour
lcfs,93,2.411807898749424,-0.5956065789473683,1.0,exported separatrix contour
lcfs,94,2.426443661971831,-0.5687836873094881,1.0,exported separatrix contour
lcfs,95,2.4268784573730997,-0.567903947368421,1.0,exported separatrix contour
lcfs,96,2.4400922352917984,-0.5402013157894736,1.0,exported separatrix contour
lcfs,97,2.449049295774648,-0.5194328023301776,1.0,exported separatrix contour
lcfs,98,2.451793125670033,-0.5124986842105262,1.0,exported separatrix contour
lcfs,99,2.4621573069979,-0.4847960526315789,1.0,exported separatrix contour
lcfs,100,2.471385374444024,-0.4570934210526315,1.0,exported separatrix contour
lcfs,101,2.471654929577465,-0.4562429672099739,1.0,exported separatrix contour
lcfs,102,2.4795970528581197,-0.42939078947368414,1.0,exported separatrix contour
lcfs,103,2.486923807833441,-0.4016881578947368,1.0,exported separatrix contour
lcfs,104,2.493451822633679,-0.3739855263157894,1.0,exported separatrix contour
lcfs,105,2.4942605633802817,-0.3703070837650352,1.0,exported separatrix contour
lcfs,106,2.4992676633164748,-0.34628289473684204,1.0,exported separatrix contour
lcfs,107,2.504436369982195,-0.31858026315789467,1.0,exported separatrix contour
lcfs,108,2.5090100665799535,-0.2908776315789472,1.0,exported separatrix contour
