kind,minor_r_m,major_r_m,z_m,psi_norm,psi_wb
lcfs,-4.5674944512e-02,1.8043250555e+00,-7.8952500000e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.3908450704e-02,1.8160915493e+00,-7.9398065761e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-1.1302816901e-02,1.8386971831e+00,-8.0147303597e-01,1.0000000000e+00,2.1287019677e-01
lcfs,1.1302816901e-02,1.8613028169e+00,-8.0784444121e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.3908450704e-02,1.8839084507e+00,-8.1316913169e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.5022003021e-02,1.9050220030e+00,-8.1722763158e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.6514084507e-02,1.9065140845e+00,-8.1754090290e-01,1.0000000000e+00,2.1287019677e-01
lcfs,7.9119718310e-02,1.9291197183e+00,-8.2132949512e-01,1.0000000000e+00,2.1287019677e-01
lcfs,1.0172535211e-01,1.9517253521e+00,-8.2411677636e-01,1.0000000000e+00,2.1287019677e-01
lcfs,1.2433098592e-01,1.9743309859e+00,-8.2592442159e-01,1.0000000000e+00,2.1287019677e-01
lcfs,1.4693661972e-01,1.9969366197e+00,-8.2675922715e-01,1.0000000000e+00,2.1287019677e-01
lcfs,1.6954225352e-01,2.0195422535e+00,-8.2661117694e-01,1.0000000000e+00,2.1287019677e-01
lcfs,1.9214788732e-01,2.0421478873e+00,-8.2546398483e-01,1.0000000000e+00,2.1287019677e-01
lcfs,2.1475352113e-01,2.0647535211e+00,-8.2327410829e-01,1.0000000000e+00,2.1287019677e-01
lcfs,2.3735915493e-01,2.0873591549e+00,-8.1999289501e-01,1.0000000000e+00,2.1287019677e-01
lcfs,2.5155127076e-01,2.1015512708e+00,-8.1722763158e-01,1.0000000000e+00,2.1287019677e-01
lcfs,2.5996478873e-01,2.1099647887e+00,-8.1571502035e-01,1.0000000000e+00,2.1287019677e-01
lcfs,2.8257042254e-01,2.1325704225e+00,-8.1056933578e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.0517605634e-01,2.1551760563e+00,-8.0415475114e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.2778169014e-01,2.1777816901e+00,-7.9631139705e-01,1.0000000000e+00,2.1287019677e-01
