sqrt_psi_norm,pressure_pa,dp_dpsi,q,fpol_t_m,ffprime_t2m2_per_wb
7.1428571429e-01,2.5111879713e+04,5.5188214881e+04,3.9414003481e+00,5.6134285714e+00,3.4249555261e-01
7.3015873016e-01,2.3114441890e+04,4.9748236593e+04,3.9509555011e+00,5.6099047619e+00,3.1717287236e-01
7.4603174603e-01,2.1439323963e+04,4.3498497149e+04,3.9594271430e+00,5.6063809524e+00,2.8756964356e-01
7.6190476190e-01,1.9548983972e+04,3.7950340196e+04,3.9667648522e+00,5.6028571429e+00,2.5816473348e-01
7.7777777778e-01,1.7832674353e+04,3.4298081270e+04,3.9731330678e+00,5.5993333333e+00,2.4158338044e-01
7.9365079365e-01,1.5467906327e+04,2.9894791628e+04,3.9786407541e+00,5.5958095238e+00,2.1804015179e-01
8.0952380952e-01,1.3168983702e+04,2.5743698706e+04,3.9833537191e+00,5.5922857143e+00,1.9470577018e-01
8.2539682540e-01,1.1011767195e+04,2.1536336134e+04,3.9872458516e+00,5.5887619048e+00,1.7047859911e-01
8.4126984127e-01,9.1059677940e+03,1.8619774396e+04,3.9904672297e+00,5.5852380952e+00,1.5308802025e-01
8.5714285714e-01,7.5598632318e+03,1.5861849151e+04,3.9931028140e+00,5.5817142857e+00,1.3651717586e-01
8.7301587302e-01,6.0388484842e+03,1.2200021819e+04,3.9952137193e+00,5.5781904762e+00,1.1140074493e-01
8.8888888889e-01,4.8677390207e+03,9.9251015410e+03,3.9968001912e+00,5.5746666667e+00,9.4716229638e-02
9.0476190476e-01,3.7316147205e+03,7.5627530947e+03,3.9979876067e+00,5.5711428571e+00,7.6777156809e-02
9.2063492063e-01,2.7683518364e+03,5.4018103480e+03,3.9988424884e+00,5.5676190476e+00,5.8344905176e-02
9.3650793651e-01,1.8736673190e+03,3.7381432579e+03,3.9994204540e+00,5.5640952381e+00,4.3025630925e-02
9.5238095238e-01,1.1650660698e+03,2.3480961700e+03,3.9997490210e+00,5.5605714286e+00,2.8962344829e-02
9.6825396825e-01,5.7099420111e+02,1.2814132925e+03,3.9999203520e+00,5.5570476190e+00,1.7147037834e-02
9.8412698413e-01,2.0183954809e+02,6.4472795503e+02,3.9999875584e+00,5.5535238095e+00,9.4340354666e-03
1.0000000000e+00,4.1603348541e+01,2.6145071110e+02,4.0000000000e+00,5.5500000000e+00,4.3145098362e-03
