index,rho_pol,fpol_t_m,pressure_pa,ffprime_t2m2_per_wb,pprime_pa_per_wb,q
44,6.1971830986e-01,5.6344225352e+00,3.6282334407e+04,5.4626522623e-01,1.0258322551e+05,3.8569554154e+00
45,6.3380281690e-01,5.6312957746e+00,3.4632718881e+04,5.1541229627e-01,9.5219841326e+04,3.8729022971e+00
46,6.4788732394e-01,5.6281690141e+00,3.2975895121e+04,4.8244003375e-01,8.6983166998e+04,3.8875519902e+00
47,6.6197183099e-01,5.6250422535e+00,3.1314504205e+04,4.4996473891e-01,7.9197559904e+04,3.9010052548e+00
48,6.7605633803e-01,5.6219154930e+00,2.9650976962e+04,4.2384532753e-01,7.2992393963e+04,3.9133172750e+00
49,6.9014084507e-01,5.6187887324e+00,2.7987860007e+04,3.8338929068e-01,6.4627497152e+04,3.9245428243e+00
50,7.0422535211e-01,5.6156619718e+00,2.6327824639e+04,3.5734319378e-01,5.8508005427e+04,3.9347362312e+00
51,7.1830985915e-01,5.6125352113e+00,2.4673677007e+04,3.3454732027e-01,5.3582611511e+04,3.9439513446e+00
52,7.3239436620e-01,5.6094084507e+00,2.3028369807e+04,3.0993464042e-01,4.8263923779e+04,3.9522415004e+00
53,7.4647887324e-01,5.6062816901e+00,2.1395015822e+04,2.8762741415e-01,4.3478673611e+04,3.9596594886e+00
54,7.6056338028e-01,5.6031549296e+00,1.9778200168e+04,2.5950314873e-01,3.8251555418e+04,3.9662046053e+00
55,7.7464788732e-01,5.6000281690e+00,1.8181087434e+04,2.4696168223e-01,3.5279051187e+04,3.9719712363e+00
56,7.8873239437e-01,5.5969014085e+00,1.6607074913e+04,2.2383484644e-01,3.0988950441e+04,3.9770289081e+00
57,8.0281690141e-01,5.5937746479e+00,1.5060170229e+04,2.0189177822e-01,2.7018317955e+04,3.9814277419e+00
58,8.1690140845e-01,5.5906478873e+00,1.3544667220e+04,1.8144689977e-01,2.3555802605e+04,3.9852171474e+00
59,8.3098591549e-01,5.5875211268e+00,1.2065188311e+04,1.6360543624e-01,2.0446741675e+04,3.9884457924e+00
60,8.4507042254e-01,5.5843943662e+00,1.0626737651e+04,1.4781328120e-01,1.7677849666e+04,3.9911615734e+00
61,8.5915492958e-01,5.5812676056e+00,9.2347689426e+03,1.3341545209e-01,1.5440095443e+04,3.9934115868e+00
62,8.7323943662e-01,5.5781408451e+00,7.8952738061e+03,1.1103973005e-01,1.2142217044e+04,3.9952420997e+00
63,8.8732394366e-01,5.5750140845e+00,6.6202636041e+03,9.7678437396e-02,1.0304053446e+04,3.9966720428e+00
64,9.0140845070e-01,5.5718873239e+00,5.4139518038e+03,8.0568787789e-02,8.0228150039e+03,3.9977755215e+00
65,9.1549295775e-01,5.5687605634e+00,4.2844862828e+03,6.5162243255e-02,6.1568051328e+03,3.9986001788e+00
66,9.2957746479e-01,5.5656338028e+00,3.2422452483e+03,5.0156021602e-02,4.4881762000e+03,3.9991884589e+00
67,9.4366197183e-01,5.5625070423e+00,2.2998094890e+03,3.4868209278e-02,2.9055972497e+03,3.9995818307e+00
68,9.5774647887e-01,5.5593802817e+00,1.4731452437e+03,2.5604128504e-02,2.0414511954e+03,3.9998207614e+00
69,9.7183098592e-01,5.5562535211e+00,7.8404427972e+02,1.5032495842e-02,1.1007917399e+03,3.9999446901e+00
70,9.8591549296e-01,5.5531267606e+00,2.6652803160e+02,8.9787316968e-03,6.1129146279e+02,3.9999920014e+00
71,1.0000000000e+00,5.5500000000e+00,0.0000000000e+00,4.3145098362e-03,2.6145071110e+02,4.0000000000e+00
