rho_pol,q_field_estimate,pressure_pa,density_1e19_m3,pprime_pa_per_wb,ffprime_t2m2_per_wb
2.6582278481e-01,2.8667899608e+00,7.0065371352e+04,9.6099669404e-01,4.4004218335e+05,1.1668378009e+00
2.7848101266e-01,2.9269895460e+00,6.9236101443e+04,9.5714688644e-01,4.3454218697e+05,1.1633400650e+00
2.9113924051e-01,2.9850085808e+00,6.8372231823e+04,9.5310876853e-01,4.3020152857e+05,1.1604193248e+00
3.0379746835e-01,3.0408833035e+00,6.7474317622e+04,9.4888097542e-01,4.2212402097e+05,1.1546866810e+00
3.1645569620e-01,3.0946507369e+00,6.6542941852e+04,9.4446205637e-01,4.1850168089e+05,1.1519580621e+00
3.2911392405e-01,3.1463486201e+00,6.5578715876e+04,9.3985047068e-01,4.1281564536e+05,1.1474783921e+00
3.4177215190e-01,3.1960153471e+00,6.4582279924e+04,9.3504458337e-01,4.0388823538e+05,1.1400395018e+00
3.5443037975e-01,3.2436899078e+00,6.3554303633e+04,9.3004266037e-01,3.9805369241e+05,1.1348938761e+00
3.6708860759e-01,3.2894118345e+00,6.2495486638e+04,9.2484286329e-01,3.9361914850e+05,1.1308469023e+00
3.7974683544e-01,3.3332211503e+00,6.1406559200e+04,9.1944324373e-01,3.8622356148e+05,1.1237189559e+00
3.9240506329e-01,3.3751583208e+00,6.0288282874e+04,9.1384173706e-01,3.7716385049e+05,1.1146288623e+00
4.0506329114e-01,3.4152642090e+00,5.9141451235e+04,9.0803615563e-01,3.7215915044e+05,1.1094094155e+00
4.1772151899e-01,3.4535800314e+00,5.7966890652e+04,9.0202418131e-01,3.6526616206e+05,1.1018162825e+00
4.3037974684e-01,3.4901473170e+00,5.6765461116e+04,8.9580335731e-01,3.5476569352e+05,1.0897915052e+00
4.4303797468e-01,3.5250078676e+00,5.5538057139e+04,8.8937107925e-01,3.4805144662e+05,1.0817246782e+00
4.5569620253e-01,3.5582037201e+00,5.4285608705e+04,8.8272458528e-01,3.4074561279e+05,1.0726258856e+00
4.6835443038e-01,3.5897771103e+00,5.3009082314e+04,8.7586094527e-01,3.3368945252e+05,1.0634569134e+00
4.8101265823e-01,3.6197704377e+00,5.1709482089e+04,8.6877704877e-01,3.2411353857e+05,1.0505635614e+00
4.9367088608e-01,3.6482262320e+00,5.0387850978e+04,8.6146959181e-01,3.1611640323e+05,1.0393612264e+00
5.0632911392e-01,3.6751871205e+00,4.9045272055e+04,8.5393506224e-01,3.0921632020e+05,1.0292872511e+00
5.1898734177e-01,3.7006957965e+00,4.7682869923e+04,8.4616972339e-01,2.9880626652e+05,1.0135928407e+00
5.3164556962e-01,3.7247949893e+00,4.6301812234e+04,8.3816959600e-01,2.9015837683e+05,9.9991156791e-01
5.4430379747e-01,3.7475274339e+00,4.4903311345e+04,8.2993043792e-01,2.8255863752e+05,9.8753104190e-01
5.5696202532e-01,3.7689358426e+00,4.3488626113e+04,8.2144772147e-01,2.7286973807e+05,9.7109215690e-01
5.6962025316e-01,3.7890628773e+00,4.2059063853e+04,8.1271660804e-01,2.6366952963e+05,9.5492102095e-01
5.8227848101e-01,3.8079511216e+00,4.0615982480e+04,8.0373191943e-01,2.5514397718e+05,9.3936845475e-01
5.9493670886e-01,3.8256430547e+00,3.9160792849e+04,7.9448810554e-01,2.4556755397e+05,9.2117850615e-01
6.0759493671e-01,3.8421810255e+00,3.7694961329e+04,7.8497920767e-01,2.3672266825e+05,9.0384991638e-01
6.2025316456e-01,3.8576072267e+00,3.6220012631e+04,7.7519881684e-01,2.2808223120e+05,8.8634308203e-01
6.3291139241e-01,3.8719636707e+00,3.4737532936e+04,7.6514002609e-01,2.1738460476e+05,8.6371022666e-01
6.4556962025e-01,3.8852921649e+00,3.3249173355e+04,7.5479537584e-01,2.0885377563e+05,8.4509888639e-01
6.5822784810e-01,3.8976342879e+00,3.1756653772e+04,7.4415679081e-01,1.9996704723e+05,8.2492374911e-01
6.7088607595e-01,3.9090313666e+00,3.0261767141e+04,7.3321550704e-01,1.8803799284e+05,7.9684979870e-01
6.8354430380e-01,3.9195244527e+00,2.8766384288e+04,7.2196198684e-01,1.8081334759e+05,7.7915248284e-01
6.9620253165e-01,3.9291543009e+00,2.7272459316e+04,7.1038581922e-01,1.7138766296e+05,7.5529994989e-01
7.0886075949e-01,3.9379613465e+00,2.5782035714e+04,6.9847560257e-01,1.6177275859e+05,7.3005697055e-01
7.2151898734e-01,3.9459856836e+00,2.4297253295e+04,6.8621880549e-01,1.5255804884e+05,7.0497189264e-01
7.3417721519e-01,3.9532670442e+00,2.2820356121e+04,6.7360160044e-01,1.4323997905e+05,6.7857718937e-01
7.4683544304e-01,3.9598447769e+00,2.1353701611e+04,6.6060866359e-01,1.3452361697e+05,6.5299775553e-01
7.5949367089e-01,3.9657578262e+00,1.9899771076e+04,6.4722293151e-01,1.2431263695e+05,6.2170740052e-01
7.7215189873e-01,3.9710447125e+00,1.8461181995e+04,6.3342530306e-01,1.1610024330e+05,5.9558429140e-01
7.8481012658e-01,3.9757435118e+00,1.7040702437e+04,6.1919426988e-01,1.0740017318e+05,5.6683389673e-01
7.9746835443e-01,3.9798918360e+00,1.5641268157e+04,6.0450545347e-01,9.3833383083e+04,5.1082183095e-01
8.1012658228e-01,3.9835268133e+00,1.4266003061e+04,5.8933101745e-01,8.2540359628e+04,4.6398669619e-01
8.2278481013e-01,3.9866850691e+00,1.2918243989e+04,5.7363891084e-01,7.1492815371e+04,4.1509565824e-01
8.3544303797e-01,3.9894027072e+00,1.1601571094e+04,5.5739187754e-01,6.1221025898e+04,3.6962362435e-01
8.4810126582e-01,3.9917152906e+00,1.0319845641e+04,5.4054613606e-01,5.3425553587e+04,3.3477598522e-01
8.6075949367e-01,3.9936578234e+00,9.0772578090e+03,5.2304958165e-01,4.5641038751e+04,2.9805657324e-01
8.7341772152e-01,3.9952647322e+00,7.8783883204e+03,5.0483927760e-01,3.8881269699e+04,2.6510489487e-01
8.8607594937e-01,3.9965698486e+00,6.7282897061e+03,4.8583785215e-01,3.1870016577e+04,2.2930963465e-01
8.9873417722e-01,3.9976063903e+00,5.6325963852e+03,4.6594814260e-01,2.6352978967e+04,1.9879575588e-01
9.1139240506e-01,3.9984069447e+00,4.5976786998e+03,4.4504489516e-01,2.0670043553e+04,1.6600448773e-01
9.2405063291e-01,3.9990034502e+00,3.6308673255e+03,4.2296121857e-01,1.5972922837e+04,1.3723922847e-01
9.3670886076e-01,3.9994271798e+00,2.7407974067e+03,3.9946496537e-01,1.2018950457e+04,1.1096480407e-01
9.4936708861e-01,3.9997087237e+00,1.9379732489e+03,3.7421377678e-01,8.2219504939e+03,8.2949606463e-02
9.6202531646e-01,3.9998779722e+00,1.2357862624e+03,3.4665832545e-01,5.0822048874e+03,5.6534938254e-02
9.7468354430e-01,3.9999640989e+00,6.5262843021e+02,3.1579104051e-01,2.4323650624e+03,3.0735649460e-02
9.8734177215e-01,3.9999955446e+00,2.1749940955e+02,2.7923064085e-01,8.9369394131e+02,1.3077050984e-02
1.0000000000e+00,4.0000000000e+00,0.0000000000e+00,2.2000000000e-01,1.9298946339e+02,3.4652210379e-03
