index,major_r_m,z_m
1,1.1947883730093203,-0.01385131578947374
2,1.1966872542414007,-0.041553947368420996
3,1.2005885610330553,-0.06925657894736825
4,1.2057394366197185,-0.09328911932395928
5,1.2064199019374842,-0.09695921052631573
6,1.213314471334804,-0.12466184210526321
7,1.2220944142734376,-0.15236447368421047
8,1.2283450704225354,-0.16860291702473343
9,1.232277430539769,-0.18006710526315772
10,1.2434975181393968,-0.2077697368421052
11,1.2509507042253523,-0.22362806280254544
12,1.256023777704966,-0.23547236842105268
13,1.269574771866563,-0.26317499999999994
14,1.2735563380281691,-0.2704498994503223
15,1.2839579310487823,-0.2908776315789472
16,1.296161971830986,-0.31226846331016805
17,1.2995599686962902,-0.31858026315789467
18,1.3159698831102524,-0.34628289473684204
19,1.318767605633803,-0.3506356136194724
20,1.3331739839829426,-0.3739855263157894
21,1.3413732394366198,-0.3862199663187312
22,1.3514461242807427,-0.4016881578947368
23,1.3639788732394367,-0.41956653399070276
24,1.3707455790684815,-0.42939078947368414
25,1.3865845070422536,-0.45093677258706444
26,1.3910788625782093,-0.4570934210526315
27,1.4091901408450704,-0.48053450445187057
28,1.4124934970886418,-0.4847960526315789
29,1.4317957746478873,-0.5085187451989946
30,1.435077451735454,-0.5124986842105262
31,1.4544014084507042,-0.5350099765220807
32,1.4589623735515138,-0.5402013157894736
33,1.477007042253521,-0.5600936926417238
34,1.484330191424905,-0.567903947368421
35,1.499612676056338,-0.5838222409623106
36,1.5114231547124397,-0.5956065789473683
37,1.522218309859155,-0.6062153640231519
38,1.5405574514894553,-0.6233092105263157
39,1.544823943661972,-0.6272596879405413
40,1.5674295774647888,-0.6471674697607351
41,1.5720528429497609,-0.6510118421052631
42,1.5900352112676057,-0.6660217702838028
43,1.606508586433276,-0.6787144736842105
44,1.6126408450704226,-0.6835003226076163
45,1.6352464788732395,-0.6999949119018283
46,1.6448019741500481,-0.7064171052631578
47,1.6578521126760564,-0.7154040712345636
48,1.6804577464788732,-0.7295992973778143
49,1.6883056700327415,-0.7341197368421052
50,1.7030633802816904,-0.7429362835506796
51,1.7256690140845072,-0.755110133868079
52,1.7395572638686738,-0.7618223684210526
53,1.7482746478873241,-0.7662481650091129
54,1.770880281690141,-0.776616554110483
55,1.7934859154929579,-0.7856829551463119
56,1.8043250554883197,-0.7895249999999999
57,1.8160915492957748,-0.7939806576098046
58,1.8386971830985916,-0.8014730359681991
