coil_index,name,minor_r_m,major_r_m,z_m,current_ma,current_a,turns,control,width_m,height_m,resistance_ohm,voltage_v
0,upper_pf,7.2000000000e-01,2.5700000000e+00,1.0800000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,lower_pf,7.2000000000e-01,2.5700000000e+00,-1.0800000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
